datacreationdate,sitename,aqi,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,co_8hr,pm2.5_avg,pm10_avg,so2_avg,測站氣壓(hPa),氣溫(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm)
2024-01-01 01:00:00,三重,110.0,1.1,0.63,35.3,34.6,70.0,44.0,18.4,29.5,11.0,0.8,39.0,67.0,0.0,1021.2,17.2,62.0,8.4,71.0,13.2,58.0,0.0
2024-01-01 02:00:00,三重,111.0,1.1,0.72,34.0,33.9,56.0,39.0,18.6,27.1,8.5,0.8,39.5,66.0,0.0,1020.6,17.1,64.0,6.6,79.0,12.6,63.0,0.0
2024-01-01 03:00:00,三重,110.0,0.9,0.62,31.1,33.2,59.0,37.0,19.8,32.6,12.8,0.7,39.1,64.0,0.0,1020.2,17.0,66.0,5.9,73.0,12.1,82.0,0.0
2024-01-01 04:00:00,三重,109.0,0.9,0.6,34.5,32.8,52.0,34.0,15.7,26.2,10.4,0.7,38.7,62.0,0.0,1020.0,16.9,66.0,6.1,72.0,11.0,88.0,0.0
2024-01-01 05:00:00,三重,106.0,0.9,0.54,33.8,33.2,56.0,40.0,15.5,26.5,11.0,0.6,37.3,60.0,0.0,1020.4,17.0,66.0,5.6,78.0,10.4,72.0,0.0
2024-01-01 06:00:00,三重,103.0,0.9,0.61,28.3,32.8,54.0,34.0,19.3,33.6,14.2,0.6,36.3,59.0,0.0,1020.9,16.9,65.0,5.3,66.0,11.0,56.0,0.0
2024-01-01 07:00:00,三重,99.0,0.9,0.78,23.2,31.6,54.0,30.0,26.5,54.5,28.0,0.6,35.1,58.0,0.0,1021.6,17.0,66.0,5.6,64.0,11.5,70.0,0.0
2024-01-01 08:00:00,三重,97.0,0.9,0.74,23.8,30.5,56.0,29.0,25.5,50.6,25.1,0.6,34.1,57.0,0.0,1022.1,17.1,65.0,5.9,69.0,10.4,74.0,0.0
2024-01-01 09:00:00,三重,95.0,0.8,0.8,21.9,28.8,53.0,35.0,27.6,59.0,31.4,0.6,33.4,56.0,0.0,1022.5,17.3,65.0,5.1,70.0,11.0,74.0,0.0
2024-01-01 10:00:00,三重,93.0,0.9,0.81,21.9,27.3,52.0,29.0,24.4,53.4,29.0,0.6,32.6,55.0,0.0,1022.6,17.7,63.0,6.2,77.0,11.5,73.0,0.0
2024-01-01 11:00:00,三重,92.0,1.0,0.84,22.2,26.2,48.0,27.0,24.7,53.7,29.0,0.7,32.0,54.0,0.0,1022.0,17.7,61.0,6.3,57.0,12.1,46.0,0.0
2024-01-01 12:00:00,三重,92.0,1.1,0.95,21.1,24.5,46.0,31.0,26.5,63.2,36.7,0.7,32.2,52.0,0.0,1021.1,17.8,63.0,7.6,70.0,12.1,46.0,0.0
2024-01-01 13:00:00,三重,88.0,1.1,0.83,23.8,23.3,48.0,27.0,27.2,57.7,30.4,0.7,30.5,50.0,0.0,1020.2,17.7,63.0,7.1,70.0,12.1,70.0,0.0
2024-01-01 14:00:00,三重,86.0,1.0,0.94,21.7,22.4,49.0,27.0,29.8,70.0,40.2,0.8,29.8,50.0,0.0,1019.6,17.9,63.0,6.5,69.0,14.3,45.0,0.0
2024-01-01 15:00:00,三重,86.0,1.0,0.99,23.1,22.4,45.0,29.0,27.9,59.8,31.8,0.8,29.7,49.0,0.0,1019.2,18.0,63.0,5.8,69.0,11.5,60.0,0.0
2024-01-01 16:00:00,三重,84.0,0.9,0.85,21.5,22.2,39.0,26.0,30.9,66.5,35.6,0.8,28.7,47.0,0.0,1019.3,17.8,63.0,5.2,68.0,11.0,69.0,0.0
2024-01-01 17:00:00,三重,83.0,1.1,1.18,18.8,21.8,40.0,28.0,31.5,64.0,32.5,0.9,28.4,45.0,0.0,1019.8,17.8,67.0,5.9,67.0,10.4,71.0,0.0
2024-01-01 18:00:00,三重,82.0,0.9,1.18,14.8,20.9,43.0,26.0,35.6,68.0,32.4,0.9,27.9,44.0,0.0,1020.2,17.5,66.0,6.3,59.0,10.4,89.0,0.0
2024-01-01 19:00:00,三重,79.0,0.8,1.13,16.2,20.1,38.0,23.0,35.8,78.5,42.6,1.0,26.9,43.0,0.0,1020.3,17.3,64.0,4.7,61.0,10.4,56.0,0.0
2024-01-01 20:00:00,三重,77.0,0.8,1.05,18.1,19.8,29.0,21.0,35.7,68.4,32.7,1.0,25.9,40.0,0.0,1020.4,17.3,64.0,5.6,76.0,8.8,77.0,0.0
2024-01-01 21:00:00,三重,72.0,1.5,1.02,15.3,18.7,34.0,19.0,36.2,78.8,42.6,1.0,24.1,39.0,0.0,1020.4,17.3,64.0,5.2,77.0,8.8,72.0,0.0
2024-01-01 22:00:00,三重,70.0,1.5,0.92,11.2,17.4,33.0,22.0,38.6,90.8,52.1,1.0,23.3,37.0,1.0,1020.2,17.1,63.0,5.0,75.0,9.3,55.0,0.0
2024-01-01 23:00:00,三重,67.0,0.7,0.9,15.1,16.4,30.0,17.0,35.7,68.9,33.2,1.0,22.2,35.0,0.0,1019.7,16.8,63.0,5.1,71.0,8.8,65.0,0.0
2024-01-02 00:00:00,三重,64.0,0.6,0.75,14.8,15.5,31.0,16.0,35.2,60.1,24.8,1.0,20.9,35.0,0.0,1019.0,16.7,63.0,5.1,69.0,8.8,62.0,0.0
2024-01-02 01:00:00,三重,64.0,0.3,0.56,19.4,15.6,23.0,19.0,31.0,51.4,20.3,0.9,20.6,32.0,0.0,1018.6,16.8,66.0,4.2,75.0,8.2,94.0,0.0
2024-01-02 02:00:00,三重,60.0,0.9,0.57,21.9,16.5,23.0,15.0,25.6,40.4,14.8,0.8,19.2,30.0,0.0,1018.2,17.0,68.0,4.5,75.0,8.8,86.0,0.0
2024-01-02 03:00:00,三重,61.0,1.2,0.44,14.3,16.3,26.0,23.0,29.7,57.1,27.3,0.7,19.7,29.0,0.0,1017.8,17.2,69.0,4.4,68.0,7.7,63.0,0.0
2024-01-02 04:00:00,三重,60.0,1.3,0.45,18.1,16.3,28.0,14.0,26.2,39.6,13.3,0.7,19.0,28.0,0.0,1017.4,17.2,70.0,3.9,73.0,7.1,72.0,0.0
