"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1014.4","24.8","79","3.4","94","6.6","104","0.0"
"02","1013.9","24.7","79","3.6","84","6.6","98","0.0"
"03","1013.5","24.6","78","3.8","75","7.1","58","0.0"
"04","1013.3","24.6","76","3.5","77","6.6","61","0.0"
"05","1013.4","24.5","76","5.0","66","8.2","62","0.0"
"06","1013.8","24.6","74","2.7","77","8.2","58","0.0"
"07","1014.4","24.8","72","3.3","92","7.7","63","0.0"
"08","1014.7","25.3","71","5.2","90","9.9","87","0.0"
"09","1014.8","26.0","67","6.4","82","9.9","49","0.0"
"10","1014.3","26.3","66","5.2","92","10.4","90","0.0"
"11","1013.3","27.3","62","6.1","67","9.9","63","0.0"
"12","1012.4","26.8","62","6.4","74","11.0","64","0.0"
"13","1011.7","26.8","62","5.9","86","11.0","93","0.0"
"14","1011.0","26.9","64","5.7","67","11.0","89","0.0"
"15","1010.9","26.1","66","6.3","89","9.9","92","0.0"
"16","1011.2","26.0","66","5.2","73","9.3","71","0.0"
"17","1011.6","25.7","69","5.1","75","9.3","70","0.0"
"18","1011.8","25.2","72","4.7","71","8.8","78","0.0"
"19","1012.4","24.9","74","4.0","79","7.7","61","0.0"
"20","1012.7","24.7","75","3.0","82","7.7","59","0.0"
"21","1013.1","24.5","77","2.7","94","7.1","90","0.0"
"22","1013.1","24.3","77","2.5","58","6.6","84","0.0"
"23","1013.1","24.0","79","3.3","70","6.0","52","0.0"
"24","1012.4","24.0","79","4.5","64","6.0","65","0.0"
