"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","997.4","21.9","93","0.0","0","0.8","2","0.0"
"02","997.6","22.0","93","0.0","0","2.4","320","0.0"
"03","997.4","22.2","93","0.7","134","1.7","136","0.0"
"04","997.0","22.3","92","0.7","281","2.2","301","0.0"
"05","/","/","/","/","/","1.7","303","0.0"
"06","/","/","/","/","/","1.9","166","0.0"
"07","997.6","22.9","92","0.0","0","1.0","252","0.0"
"08","997.7","23.7","88","0.4","233","3.0","255","0.0"
"09","997.6","24.3","86","0.7","271","4.0","262","0.0"
"10","997.3","25.5","80","0.5","240","4.4","261","0.0"
"11","997.1","25.2","84","2.1","312","3.8","310","0.0"
"12","996.9","26.7","77","1.3","321","4.3","311","0.0"
"13","996.7","24.8","86","2.1","342","5.5","14","0.0"
"14","995.9","25.5","81","1.6","315","5.3","10","0.0"
"15","995.1","26.5","74","1.6","274","5.8","260","0.0"
"16","/","/","/","/","/","3.1","263","0.0"
"17","995.1","26.2","73","1.4","288","4.7","312","0.0"
"18","/","/","/","/","/","4.4","307","0.0"
"19","995.5","25.3","74","0.5","224","3.9","286","0.0"
"20","996.4","24.9","81","0.3","268","3.1","270","0.0"
"21","996.5","24.9","82","0.5","254","2.9","267","0.0"
"22","/","/","/","/","/","3.0","193","0.0"
"23","996.5","23.6","88","0.8","42","2.0","17","0.0"
"24","996.4","23.8","89","0.0","0","1.9","44","0.0"
