"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1005.8","27.8","100","1.1","165","2.9","160","0.0"
"02","1005.2","27.8","99","1.1","170","3.3","138","0.0"
"03","1005.2","27.5","100","1.6","172","2.8","163","0.0"
"04","1005.2","27.3","99","1.5","169","2.9","162","0.0"
"05","1005.5","27.2","95","1.3","184","2.9","153","0.0"
"06","1005.8","27.2","95","1.8","174","3.2","164","0.0"
"07","1006.6","27.9","96","1.6","175","3.9","193","0.0"
"08","1006.7","29.5","92","2.6","178","6.5","166","0.0"
"09","1007.0","29.9","81","2.9","173","7.2","207","0.0"
"10","1007.1","31.2","73","3.2","182","7.0","174","0.0"
"11","1007.1","32.0","66","4.4","198","9.8","195","0.0"
"12","1006.7","32.3","67","3.4","200","8.0","208","0.0"
"13","1005.8","32.6","68","3.5","203","8.0","204","0.0"
"14","1005.5","33.3","59","4.6","197","9.3","202","0.0"
"15","1005.2","33.1","58","3.8","206","10.9","202","0.0"
"16","1005.0","32.2","66","4.2","203","9.2","213","0.0"
"17","1005.6","30.9","75","3.2","205","8.7","199","0.0"
"18","1005.7","30.2","80","2.7","203","7.5","204","0.0"
"19","1005.8","29.8","80","2.3","200","5.6","214","0.0"
"20","1006.3","29.6","79","1.6","197","4.0","208","0.0"
"21","1006.6","29.0","90","1.2","158","3.4","198","0.0"
"22","1007.3","29.0","91","1.3","173","2.5","135","0.0"
"23","1007.3","28.7","92","1.4","172","2.9","168","0.0"
"24","1006.9","28.4","95","1.8","167","3.6","171","0.0"
