"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","/","/","/","/","/","1.0","124","&"
"02","/","/","/","/","/","0.4","96","&"
"03","1014.4","14.8","88","0.0","0","2.1","1","0.0"
"04","/","/","/","/","/","1.5","24","0.0"
"05","1014.3","15.0","89","0.0","0","0.9","80","0.0"
"06","1014.6","14.6","90","0.0","0","0.7","73","0.0"
"07","1015.1","14.8","91","0.0","0","1.5","94","0.0"
"08","1015.6","16.0","87","0.0","0","1.5","91","&"
"09","1015.9","18.6","80","0.4","326","2.4","334","0.0"
"10","1015.8","20.5","70","0.9","311","2.1","360","0.0"
"11","/","/","/","/","/","4.1","345","&"
"12","/","/","/","/","/","--","--","&"
"13","/","/","/","/","/","--","--","&"
"14","/","/","/","/","/","--","--","&"
"15","/","/","/","/","/","--","--","&"
"16","1012.4","22.7","56","2.8","262","5.8","277","&"
"17","/","/","/","/","/","6.7","311","&"
"18","1013.8","20.3","70","2.4","338","5.6","335","&"
"19","/","/","/","/","/","4.1","360","0.0"
"20","/","/","/","/","/","4.3","360","&"
"21","/","/","/","/","/","3.0","360","0.0"
"22","/","/","/","/","/","2.2","31","&"
"23","1014.8","17.6","78","0.0","0","1.2","1","0.0"
"24","/","/","/","/","/","0.5","315","&"
