"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1021.0","15.3","99","0.3","316","1.9","294","0.0"
"02","1020.7","15.5","99","0.6","338","1.3","241","0.0"
"03","1020.4","15.2","99","0.6","283","1.3","284","0.0"
"04","1020.3","15.2","99","0.0","0","1.2","335","0.0"
"05","1020.5","15.5","99","0.2","0","1.2","217","0.0"
"06","1020.9","15.6","99","0.3","295","1.4","295","0.0"
"07","1021.4","15.0","99","1.4","307","2.7","302","0.0"
"08","1022.0","16.4","99","0.8","321","2.7","308","0.0"
"09","1022.2","18.5","89","1.1","330","2.3","354","0.0"
"10","1022.1","20.1","75","0.2","0","2.5","305","0.0"
"11","1021.2","21.2","67","0.6","20","1.5","331","0.0"
"12","1019.9","22.0","73","1.7","356","4.4","3","0.0"
"13","1018.8","23.5","64","1.0","317","3.7","290","0.0"
"14","1018.4","23.1","63","3.7","157","7.0","162","0.0"
"15","1018.3","22.6","65","3.6","151","7.1","134","0.0"
"16","1018.4","21.7","71","2.8","161","7.3","183","0.0"
"17","1018.9","21.0","75","1.5","154","4.7","164","0.0"
"18","1019.2","19.5","84","1.5","226","2.8","165","0.0"
"19","1019.6","18.2","97","1.1","233","2.4","248","0.0"
"20","1020.0","18.1","97","1.3","227","2.3","243","0.0"
"21","1020.0","17.8","99","0.6","271","2.0","225","0.0"
"22","1020.0","17.4","99","0.4","307","1.8","232","0.0"
"23","1020.0","17.0","99","0.8","282","1.6","266","0.0"
"24","1020.0","16.6","99","0.7","322","1.9","285","0.0"
