"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1006.0","15.4","73","1.4","183","2.7","191","0.0"
"02","1006.0","16.1","69","1.0","170","1.8","196","0.0"
"03","1006.0","16.0","71","0.3","179","2.2","204","0.0"
"04","/","/","/","/","/","1.9","186","0.0"
"05","1006.8","16.6","47","1.3","38","3.0","42","0.0"
"06","1007.3","16.9","41","1.3","44","2.6","35","0.0"
"07","1007.8","17.0","43","1.4","34","2.4","36","0.0"
"08","1008.3","17.7","45","1.4","47","2.7","29","0.0"
"09","1008.7","18.2","42","2.7","29","5.1","38","0.0"
"10","1008.8","19.0","41","1.6","32","4.9","49","0.0"
"11","1008.4","20.8","41","2.8","33","4.5","37","0.0"
"12","/","/","/","/","/","7.5","40","0.0"
"13","1007.2","22.3","47","2.2","33","6.9","25","0.0"
"14","1006.3","23.2","45","2.6","3","6.1","360","0.0"
"15","1005.8","23.9","43","2.3","12","5.8","349","0.0"
"16","1005.7","24.0","41","4.1","25","7.8","18","0.0"
"17","1005.7","23.3","40","3.8","9","8.0","4","&"
"18","1006.3","21.3","43","3.3","15","9.2","349","0.0"
"19","1007.0","20.3","45","2.3","33","6.4","17","&"
"20","1007.2","20.0","46","1.4","46","4.0","29","0.0"
"21","1007.7","18.9","49","2.1","34","3.3","41","0.0"
"22","1007.9","18.1","51","1.2","44","3.6","36","0.0"
"23","1007.8","18.3","51","0.5","72","1.9","44","0.0"
"24","1007.6","17.7","60","0.1","0","1.7","84","0.0"
