"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1026.2","12.6","76","6.3","25","13.5","28","0.0"
"02","1026.3","12.5","75","7.3","26","13.5","24","0.0"
"03","1026.3","12.6","73","6.2","28","13.1","21","0.0"
"04","1026.2","12.6","72","5.8","20","11.3","18","0.0"
"05","1026.2","12.6","69","5.0","14","11.5","15","0.0"
"06","1026.6","12.8","69","4.6","17","10.7","13","0.0"
"07","1027.1","12.1","75","1.9","281","8.2","26","0.0"
"08","1027.6","12.0","78","2.5","245","4.8","253","0.0"
"09","1027.9","12.2","80","1.0","241","3.3","252","0.0"
"10","1028.1","12.5","80","1.1","235","2.9","289","0.0"
"11","1027.7","13.1","74","0.9","306","3.1","208","0.0"
"12","1026.7","13.6","69","1.1","274","2.9","301","0.0"
"13","1025.6","13.9","69","1.2","331","2.7","349","0.0"
"14","1024.6","14.0","69","1.5","329","3.3","12","0.0"
"15","1024.2","14.0","70","1.2","346","3.3","281","0.0"
"16","1024.2","13.9","71","1.1","339","4.6","7","0.0"
"17","1024.7","13.8","72","1.7","2","3.6","347","0.0"
"18","1025.2","13.5","76","1.6","357","5.0","10","0.0"
"19","1025.5","13.5","76","1.1","305","2.6","334","0.0"
"20","1025.5","13.5","79","0.8","289","2.5","283","0.0"
"21","1025.8","13.2","82","0.9","263","2.3","275","0.0"
"22","1025.8","13.2","83","0.7","257","2.8","238","0.0"
"23","1025.5","13.3","84","0.8","294","2.0","227","0.0"
"24","1025.7","13.4","83","0.7","268","2.3","272","0.0"
