"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1018.3","14.0","99","0.0","0","0.9","149","0.0"
"02","1017.9","13.6","99","0.0","0","0.3","150","0.0"
"03","1017.7","13.3","99","0.0","0","0.5","75","0.0"
"04","1017.4","13.1","99","0.0","0","0.8","123","0.0"
"05","1017.6","12.9","99","0.0","0","0.9","148","0.0"
"06","1018.2","12.8","99","0.0","0","0.7","147","0.0"
"07","1018.4","12.4","99","0.0","0","0.0","0","0.0"
"08","1018.4","16.0","98","0.0","0","0.8","122","0.0"
"09","1018.7","20.6","64","0.6","214","0.9","179","0.0"
"10","1018.7","22.6","48","0.6","6","2.7","13","0.0"
"11","1017.9","23.7","45","0.9","331","3.0","355","0.0"
"12","1016.9","24.6","43","0.5","300","2.4","340","0.0"
"13","1015.7","25.3","39","0.7","325","2.6","348","0.0"
"14","1014.7","25.2","46","1.1","326","3.9","324","0.0"
"15","1014.1","24.0","59","0.9","295","4.5","345","0.0"
"16","1014.4","23.5","59","1.5","330","4.9","334","0.0"
"17","1014.6","21.8","74","1.2","329","4.1","321","0.0"
"18","1015.0","20.0","93","0.9","339","3.8","293","0.0"
"19","1014.9","19.3","97","0.3","347","3.2","23","0.0"
"20","1015.6","18.6","99","0.0","0","1.2","45","0.0"
"21","1016.4","18.4","99","1.4","173","1.9","195","0.0"
"22","1017.2","18.7","99","0.1","0","1.9","180","0.0"
"23","1017.1","18.4","99","0.2","0","1.7","125","0.0"
"24","1016.7","18.2","99","0.0","0","1.4","134","0.0"
