"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1007.2","26.7","87","1.2","194","3.5","159","0.0"
"02","1006.8","26.5","86","1.2","161","3.5","171","0.0"
"03","1006.4","23.3","91","1.8","45","7.5","346","7.5"
"04","1006.6","23.2","94","1.5","129","5.7","47","1.5"
"05","1006.1","22.8","93","2.7","110","6.9","120","0.0"
"06","1006.6","23.4","93","1.7","98","5.3","103","0.0"
"07","1006.5","23.9","88","1.7","103","3.9","106","0.0"
"08","1006.7","25.0","83","1.8","121","4.5","114","0.0"
"09","1007.2","26.4","75","1.7","153","4.1","129","0.0"
"10","1007.0","27.2","75","1.2","178","3.1","168","0.0"
"11","1007.4","27.8","80","1.3","211","3.7","170","0.0"
"12","1006.7","28.7","75","1.8","199","4.9","238","0.0"
"13","1006.6","28.8","75","2.2","227","5.2","232","0.0"
"14","1005.9","28.1","76","2.0","228","6.2","226","0.0"
"15","1006.0","27.7","78","3.1","236","7.1","242","0.0"
"16","1006.3","27.5","81","1.8","242","5.9","241","0.0"
"17","1005.9","27.1","81","1.1","209","4.6","247","0.0"
"18","1006.2","27.1","82","0.9","203","2.7","178","0.0"
"19","1007.1","26.8","84","0.4","198","2.0","211","0.0"
"20","1007.8","26.5","86","0.9","120","2.2","126","0.0"
"21","1008.0","26.1","88","1.1","134","2.7","120","0.0"
"22","1007.8","25.9","88","1.0","107","2.1","166","0.0"
"23","1008.0","25.8","88","0.0","0","1.5","110","0.0"
"24","1007.2","25.3","89","0.4","57","1.7","93","&"
