"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1010.6","17.8","90","3.2","328","6.6","17","0.0"
"02","1010.3","17.5","92","3.1","346","5.7","333","0.0"
"03","1010.3","17.2","92","3.0","325","6.7","346","0.0"
"04","1010.4","17.1","88","4.1","332","8.7","344","0.0"
"05","1010.7","17.0","86","4.7","338","9.6","322","0.0"
"06","1011.2","17.0","85","3.4","346","8.9","324","0.0"
"07","1011.5","16.9","85","2.4","349","8.9","2","0.0"
"08","1012.1","17.4","84","4.2","332","7.4","344","0.0"
"09","1012.6","18.8","78","4.9","354","9.4","355","0.0"
"10","1012.7","20.2","70","4.5","354","8.8","7","0.0"
"11","1012.3","21.7","63","3.8","349","8.9","326","0.0"
"12","1011.6","22.8","57","4.2","4","8.8","331","0.0"
"13","1010.8","23.7","52","4.6","353","9.1","318","0.0"
"14","1010.1","24.3","47","4.3","356","9.0","355","0.0"
"15","1010.0","22.7","55","6.8","335","10.9","342","0.0"
"16","1010.5","22.2","53","5.3","359","10.1","360","0.0"
"17","1011.4","21.6","52","4.7","350","10.6","324","0.0"
"18","1011.9","20.1","55","4.1","336","8.7","333","0.0"
"19","1012.5","18.8","57","3.8","344","8.7","328","0.0"
"20","1013.0","18.2","57","2.8","332","8.1","329","0.0"
"21","1013.2","17.4","55","2.7","329","7.5","339","0.0"
"22","1013.3","16.6","52","3.5","329","7.9","347","0.0"
"23","1013.4","16.0","54","2.5","324","7.4","337","0.0"
"24","1013.4","15.8","47","3.0","318","4.9","302","0.0"
