"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","Precp"
"01","1011.3","21.2","96","0.8","5","0.0"
"02","1011.1","21.0","96","1.6","3","0.0"
"03","1010.8","21.1","95","1.1","356","0.0"
"04","/","/","/","/","/","0.0"
"05","1010.9","20.7","99","1.1","4","0.0"
"06","1011.6","20.9","98","0.6","30","0.0"
"07","1012.4","21.1","95","1.6","3","0.0"
"08","1012.9","21.9","89","0.9","34","0.0"
"09","1013.4","22.9","80","1.1","17","0.0"
"10","1013.1","24.5","72","1.6","350","0.0"
"11","1012.5","25.0","71","0.9","342","0.0"
"12","1011.5","24.7","71","2.5","340","0.0"
"13","1010.5","24.9","69","2.5","356","0.0"
"14","1009.9","25.1","66","3.1","335","0.0"
"15","1009.7","25.1","65","2.5","343","0.0"
"16","1009.9","24.6","65","2.3","351","0.0"
"17","1010.3","24.1","64","1.8","344","0.0"
"18","1010.8","23.5","66","1.2","326","0.0"
"19","1012.0","22.9","66","2.1","352","0.0"
"20","1012.7","22.4","68","1.9","359","0.0"
"21","1013.1","22.2","70","1.8","14","0.0"
"22","1013.2","22.0","72","1.6","359","0.0"
"23","1013.4","21.5","73","1.6","351","0.0"
"24","1013.6","21.0","75","1.8","342","0.0"
