"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1007.0","23.2","71","0.9","147","1.9","118","0.0"
"02","1007.1","22.2","77","0.7","311","2.7","123","0.0"
"03","1006.7","21.7","68","0.9","347","2.0","343","0.0"
"04","1006.8","20.9","75","0.9","74","2.5","356","0.0"
"05","1007.2","20.7","65","1.3","354","3.1","346","0.0"
"06","1007.9","20.8","65","1.0","350","2.5","356","0.0"
"07","1008.5","21.1","53","1.6","6","4.5","356","0.0"
"08","1008.7","23.0","50","2.6","1","5.0","12","0.0"
"09","1008.5","25.8","50","1.6","346","4.2","342","0.0"
"10","1008.0","27.8","45","1.5","357","4.7","337","0.0"
"11","1007.3","29.4","42","2.5","349","6.0","4","0.0"
"12","1006.6","30.1","43","2.4","316","7.3","2","0.0"
"13","1006.2","29.7","45","3.1","322","6.1","335","0.0"
"14","1006.1","27.6","54","3.0","312","6.3","276","0.0"
"15","1005.7","27.4","54","2.3","346","5.7","333","0.0"
"16","1005.1","27.1","56","2.4","322","5.4","295","0.0"
"17","1005.4","25.8","59","2.3","315","6.2","297","0.0"
"18","1005.8","25.1","62","1.9","315","4.2","307","0.0"
"19","1006.5","24.6","65","1.2","280","2.8","302","0.0"
"20","1006.8","24.0","67","0.9","306","2.1","282","0.0"
"21","1007.4","23.5","70","1.4","286","2.1","267","0.0"
"22","1007.5","23.1","72","0.0","0","2.0","285","0.0"
"23","1007.2","23.6","71","0.6","199","2.3","187","0.0"
"24","1007.0","23.3","74","0.3","218","2.0","213","0.0"
