"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","Precp"
"01","1005.6","27.6","90","0.0","0","0.0"
"02","1005.2","27.1","92","0.3","240","0.0"
"03","1004.7","26.5","95","0.4","205","0.0"
"04","1004.6","26.4","96","0.7","198","0.0"
"05","1004.8","26.2","96","0.9","211","0.0"
"06","1005.6","26.4","96","0.9","230","0.0"
"07","1006.1","27.5","91","0.6","224","0.0"
"08","1006.5","28.8","84","0.7","201","0.0"
"09","1007.0","28.5","86","0.7","64","0.0"
"10","1006.7","31.2","72","0.0","0","0.0"
"11","1006.2","33.0","64","0.3","71","0.0"
"12","1005.7","32.7","64","0.6","30","0.0"
"13","1004.9","32.9","63","2.2","19","0.0"
"14","1004.4","33.4","61","2.4","21","0.0"
"15","1003.9","32.4","64","1.8","18","0.0"
"16","1003.6","32.1","67","1.6","15","0.0"
"17","1003.4","30.4","74","2.5","20","0.0"
"18","1004.2","29.1","79","2.2","29","0.0"
"19","1004.6","28.0","81","2.9","26","0.0"
"20","1005.3","27.7","80","2.5","28","0.0"
"21","1006.3","27.5","81","1.2","26","0.0"
"22","1006.8","27.6","80","0.5","12","0.0"
"23","1006.9","27.1","80","1.3","59","0.0"
"24","1007.0","27.1","81","0.5","33","0.0"
