"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1016.6","16.0","83","1.2","15","3.4","24","0.0"
"02","1016.2","16.0","84","0.7","23","3.3","358","0.0"
"03","1015.8","16.0","84","0.4","10","2.6","19","0.0"
"04","1015.7","15.7","85","1.6","10","3.5","5","0.0"
"05","1015.6","15.6","86","1.1","29","3.2","1","0.0"
"06","1016.1","15.4","87","0.8","19","2.1","22","0.0"
"07","1016.3","15.4","87","1.1","10","2.6","21","0.0"
"08","1016.9","17.3","78","0.2","0","2.2","18","0.0"
"09","1017.2","18.5","73","0.4","6","2.6","10","0.0"
"10","1017.0","20.0","68","0.9","28","3.9","53","0.0"
"11","1016.4","21.2","66","1.2","37","3.8","15","0.0"
"12","1015.5","22.7","62","1.2","29","4.0","65","0.0"
"13","1014.5","24.1","63","1.5","16","5.1","334","0.0"
"14","1013.7","24.5","61","1.2","2","5.5","30","0.0"
"15","1013.2","23.4","64","1.2","360","5.9","23","0.0"
"16","1013.3","22.8","64","0.5","334","5.1","351","0.0"
"17","1013.9","20.8","73","1.3","360","5.8","2","0.0"
"18","1014.1","19.2","80","1.5","8","3.9","348","0.0"
"19","1014.3","18.4","83","0.6","5","4.4","10","0.0"
"20","1014.9","17.6","88","1.6","17","4.2","348","0.0"
"21","1015.2","17.6","88","1.4","29","3.7","3","0.0"
"22","1014.9","17.6","89","0.9","37","2.8","5","0.0"
"23","1014.5","17.5","89","0.6","27","2.2","25","0.0"
"24","1014.2","17.3","90","0.0","0","1.9","356","0.0"
