"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1005.1","25.7","95","0.9","162","2.4","179","0.0"
"02","1005.0","25.5","93","1.2","195","3.1","194","0.5"
"03","1004.9","25.4","93","0.9","207","2.8","208","0.0"
"04","1004.8","25.7","92","0.0","0","1.6","208","0.0"
"05","1004.9","25.7","93","0.0","0","1.5","8","0.0"
"06","1005.2","25.6","93","1.2","18","1.8","12","0.0"
"07","1005.8","26.5","91","0.2","0","2.5","52","0.0"
"08","1005.9","28.1","81","1.6","18","3.1","7","0.0"
"09","1006.3","28.8","76","1.3","11","3.0","22","0.0"
"10","1006.2","30.2","71","1.1","20","4.1","24","0.0"
"11","1005.7","30.4","71","0.7","293","3.1","21","0.0"
"12","1005.3","30.2","73","2.4","268","4.4","271","0.0"
"13","1004.6","31.3","67","2.6","276","5.1","291","0.0"
"14","1004.0","31.2","70","2.8","255","7.1","281","0.0"
"15","1003.7","29.8","77","2.6","253","7.5","266","0.0"
"16","1004.1","29.5","78","1.2","257","6.7","257","0.0"
"17","1004.3","29.4","78","1.6","275","5.7","261","0.0"
"18","1004.7","26.0","95","1.8","45","7.0","48","1.5"
"19","1004.8","25.1","98","0.0","0","5.6","45","15.0"
"20","1005.4","25.3","97","1.4","156","3.5","160","1.0"
"21","1005.8","25.1","98","1.5","149","4.0","160","3.0"
"22","1005.6","24.9","98","2.2","157","4.4","165","2.0"
"23","1005.3","24.9","98","2.0","156","4.4","159","0.0"
"24","1005.5","25.1","97","1.3","154","3.8","158","0.5"
