"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1019.8","20.4","85","1.2","14","2.2","54","0.0"
"02","1019.4","19.3","89","2.2","6","4.9","5","0.0"
"03","1019.1","18.6","91","1.8","11","4.2","30","0.0"
"04","1018.5","18.6","89","1.5","18","4.8","2","0.0"
"05","1018.3","18.8","88","0.4","120","3.0","34","0.0"
"06","1018.4","18.6","87","1.4","54","2.9","54","0.0"
"07","1019.1","18.6","89","1.8","348","3.1","360","0.0"
"08","1019.6","20.1","85","1.4","331","3.4","12","0.0"
"09","1020.2","21.1","79","1.5","22","3.8","341","0.0"
"10","1020.4","24.0","70","1.2","12","3.0","13","0.0"
"11","1020.0","25.3","67","1.2","301","8.8","131","0.0"
"12","1018.8","26.5","60","4.5","174","8.3","192","0.0"
"13","1017.7","27.3","53","4.7","160","8.4","158","0.0"
"14","1016.9","27.0","55","4.5","165","8.7","146","0.0"
"15","1016.3","27.2","56","5.0","177","8.8","175","0.0"
"16","1016.5","26.4","62","5.9","179","8.2","169","0.0"
"17","1016.6","26.1","65","5.5","178","7.6","179","0.0"
"18","1017.0","25.8","65","2.9","161","7.6","170","0.0"
"19","1018.0","24.9","63","1.4","41","4.6","171","0.0"
"20","1018.5","23.9","75","2.5","24","6.0","24","0.0"
"21","1018.9","23.7","74","0.6","69","3.3","22","0.0"
"22","1019.1","23.2","78","1.5","343","2.3","337","0.0"
"23","1019.2","21.8","81","0.9","27","3.0","14","0.0"
"24","1019.3","20.6","85","0.9","78","2.1","62","0.0"
