"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1016.4","15.9","73","0.7","43","3.1","39","0.0"
"02","1015.8","15.7","75","1.1","59","2.6","75","0.0"
"03","1015.4","15.8","75","0.6","17","2.2","60","0.0"
"04","1015.8","15.3","78","1.4","54","2.4","8","0.0"
"05","1016.1","14.7","80","1.2","57","2.4","65","0.0"
"06","1016.5","14.9","80","1.0","60","1.6","59","0.0"
"07","1017.3","15.3","80","0.8","60","2.1","58","0.0"
"08","1017.9","16.1","77","1.1","60","2.3","60","0.0"
"09","1018.5","18.3","70","1.6","55","3.1","77","0.0"
"10","1018.4","21.0","62","0.5","33","2.3","61","0.0"
"11","1017.6","21.9","58","0.4","62","3.0","51","0.0"
"12","1016.7","22.2","58","1.7","286","5.1","244","0.0"
"13","1015.9","23.0","53","2.1","279","6.9","238","0.0"
"14","1015.6","22.8","55","2.4","288","7.6","302","0.0"
"15","1015.4","22.5","57","3.3","294","7.7","300","0.0"
"16","1015.7","22.3","59","1.6","291","6.6","306","0.0"
"17","1016.3","21.4","63","1.8","289","5.5","307","0.0"
"18","1016.9","21.4","63","1.3","291","3.7","301","0.0"
"19","1017.6","21.5","62","0.5","279","2.7","302","0.0"
"20","1018.0","21.3","62","0.1","0","1.9","308","0.0"
"21","1018.4","20.2","66","0.7","49","2.5","22","0.0"
"22","1018.4","19.6","67","1.0","32","2.7","48","0.0"
"23","1018.5","18.7","69","1.1","5","3.2","55","0.0"
"24","1018.1","18.1","74","1.3","52","2.7","5","0.0"
