"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1015.8","17.5","78","1.1","50","1.9","57","0.0"
"02","1015.5","17.2","78","0.2","0","2.0","62","0.0"
"03","1015.2","16.8","77","0.7","81","1.6","80","0.0"
"04","1015.1","16.9","75","0.8","64","2.7","70","0.0"
"05","1015.5","16.4","77","0.5","77","2.5","90","0.0"
"06","1016.1","16.4","78","0.6","51","2.4","24","0.0"
"07","1016.6","16.1","80","0.5","58","1.5","65","0.0"
"08","1017.4","17.8","73","0.4","76","1.2","79","0.0"
"09","1017.8","19.8","67","0.3","51","2.0","28","0.0"
"10","1017.7","23.5","49","0.5","69","1.6","64","0.0"
"11","1017.0","24.9","44","0.9","3","2.5","39","0.0"
"12","1016.3","25.3","44","1.0","5","3.5","343","0.0"
"13","1015.6","25.2","47","2.0","317","5.0","243","0.0"
"14","1015.2","25.3","45","1.9","290","5.9","262","0.0"
"15","1014.9","25.1","47","2.0","292","5.6","226","0.0"
"16","1015.0","24.5","46","2.3","313","5.5","269","0.0"
"17","1015.5","23.8","49","1.8","295","5.2","301","0.0"
"18","/","/","/","/","/","3.8","323","0.0"
"19","1017.0","22.3","56","0.0","0","0.3","323","0.0"
"20","1017.5","21.9","58","0.0","0","0.0","0","0.0"
"21","1017.7","20.0","69","0.0","0","0.3","323","0.0"
"22","1017.8","19.2","72","0.0","0","0.3","323","0.0"
"23","1017.6","18.3","74","0.0","0","0.3","323","0.0"
"24","1017.5","18.4","74","0.0","0","0.3","323","0.0"
