"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1020.0","20.3","64","0.9","98","3.0","103","0.0"
"02","1019.9","20.4","63","0.0","0","1.6","98","0.0"
"03","1019.6","19.6","63","0.8","150","2.3","151","0.0"
"04","1019.4","19.1","66","1.0","143","3.1","176","0.0"
"05","1019.5","19.0","65","1.0","180","3.3","136","0.0"
"06","1020.3","18.4","74","0.5","226","2.9","195","0.0"
"07","1020.9","18.2","73","0.7","132","1.8","146","0.0"
"08","1021.1","18.2","73","1.7","156","3.5","148","0.0"
"09","1021.7","19.0","71","0.0","0","3.4","112","0.0"
"10","1022.0","19.6","70","0.4","260","2.2","317","0.0"
"11","1021.5","22.0","62","1.2","278","2.5","277","0.0"
"12","1020.4","24.1","55","1.1","337","3.3","240","0.0"
"13","1019.2","23.6","55","1.2","301","3.3","280","0.0"
"14","1018.8","24.2","58","1.7","94","5.0","81","0.0"
"15","1018.8","23.7","65","0.5","65","5.3","75","0.0"
"16","1018.8","22.8","71","1.9","88","4.5","69","0.0"
"17","1019.2","22.1","76","2.7","87","5.7","88","0.0"
"18","1019.5","21.9","78","2.0","85","5.2","105","0.0"
"19","1019.7","21.2","78","1.3","91","5.8","89","0.0"
"20","1019.8","20.4","80","1.2","105","4.6","52","0.5"
"21","1019.7","20.1","84","2.3","101","5.8","93","0.0"
"22","/","/","/","/","/","3.8","99","0.0"
"23","/","/","/","/","/","--","--","0.0"
"24","1019.2","19.7","88","1.3","165","3.0","186","0.0"
