"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1022.8","17.9","84","0.9","355","3.9","3","0.0"
"02","1022.7","18.1","82","0.4","16","5.0","9","0.0"
"03","1022.5","17.9","85","0.9","1","4.2","9","0.0"
"04","1022.3","16.8","94","1.6","357","4.2","344","0.0"
"05","1022.1","17.4","89","3.1","341","7.1","342","0.5"
"06","1022.3","17.8","86","2.3","356","7.1","329","0.0"
"07","1022.7","17.5","87","2.6","345","5.6","358","0.0"
"08","1023.2","18.2","85","1.5","355","4.9","18","0.0"
"09","1023.5","19.0","80","2.5","356","6.0","41","0.0"
"10","1023.2","20.4","74","3.1","341","6.3","350","0.0"
"11","1022.2","22.9","62","3.4","347","7.6","337","0.0"
"12","1021.2","23.5","59","2.5","352","7.9","358","0.0"
"13","1020.0","25.3","54","1.6","71","5.5","46","0.0"
"14","1019.4","23.1","62","1.6","93","6.5","116","0.0"
"15","1019.2","22.9","66","1.6","85","5.4","83","0.0"
"16","1019.5","22.4","69","0.8","53","4.5","39","0.0"
"17","1019.9","21.2","75","1.3","322","3.6","316","0.0"
"18","1020.3","19.6","82","1.3","312","2.8","299","0.0"
"19","1020.6","19.4","83","1.2","317","3.5","296","0.0"
"20","1021.0","18.2","87","1.1","324","2.8","278","0.0"
"21","1021.2","18.2","86","1.3","321","2.7","334","0.0"
"22","1021.2","17.7","86","0.8","334","4.3","304","0.0"
"23","1020.8","18.9","76","1.9","311","4.2","298","0.0"
"24","1020.5","17.8","77","1.7","335","4.2","301","0.0"
