"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1000.5","13.3","94","0.0","0","1.3","175","0.0"
"02","1000.3","13.2","95","0.0","0","1.0","140","0.0"
"03","1000.1","13.1","94","0.4","192","2.0","79","0.0"
"04","1000.1","12.8","95","0.0","0","1.1","175","0.0"
"05","1000.4","12.4","96","0.0","0","1.4","159","0.0"
"06","1000.6","12.0","97","0.1","0","1.1","162","0.0"
"07","1001.0","12.1","97","0.0","0","1.0","144","0.0"
"08","1002.0","13.8","93","0.1","0","1.5","160","0.0"
"09","1002.3","17.7","74","0.0","0","1.2","84","0.0"
"10","1002.1","19.5","67","0.5","349","1.5","96","0.0"
"11","1001.7","22.0","49","0.3","275","2.5","331","0.0"
"12","1000.9","23.0","44","1.3","328","4.3","343","0.0"
"13","1000.0","24.2","41","0.4","294","3.7","264","0.0"
"14","999.4","24.2","38","1.1","293","5.3","234","0.0"
"15","999.1","24.1","40","0.9","264","3.9","340","0.0"
"16","999.1","23.8","39","0.6","271","4.2","317","0.0"
"17","999.8","22.8","39","0.6","241","3.4","245","0.0"
"18","1000.4","19.5","64","0.9","166","2.2","161","0.0"
"19","1001.1","18.1","73","0.0","0","2.4","173","0.0"
"20","1001.7","16.8","80","0.0","0","1.4","37","0.0"
"21","1002.0","16.0","81","0.1","0","1.1","90","0.0"
"22","1002.2","15.2","87","0.3","168","1.6","154","0.0"
"23","1002.1","14.6","90","0.1","0","1.3","171","0.0"
"24","1001.7","14.2","91","0.0","0","1.1","172","0.0"
