"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1007.7","27.2","77","1.5","131","3.6","119","0.0"
"02","1007.5","27.2","76","2.2","105","4.4","110","0.0"
"03","1007.0","27.3","76","1.8","100","4.6","119","0.0"
"04","1007.1","27.3","77","2.1","100","3.9","100","0.0"
"05","1006.9","27.5","75","1.0","127","2.9","99","0.0"
"06","1007.1","28.7","71","1.2","120","2.7","126","0.0"
"07","1007.6","31.1","65","0.7","141","2.1","88","0.0"
"08","1007.8","32.0","63","0.9","107","2.0","134","0.0"
"09","1007.7","32.1","64","2.7","268","5.0","254","0.0"
"10","1008.1","31.8","67","2.8","257","7.0","243","0.0"
"11","1008.2","32.5","66","2.0","274","7.4","273","0.0"
"12","1007.9","32.0","70","3.6","274","7.4","290","0.0"
"13","1007.5","32.2","70","3.8","272","8.1","280","0.0"
"14","1006.7","32.4","70","3.0","288","8.6","285","0.0"
"15","1006.5","32.8","71","2.6","354","8.1","281","0.0"
"16","1007.0","31.9","72","1.4","341","5.6","13","0.0"
"17","1006.6","32.1","70","3.0","254","5.8","278","0.0"
"18","1007.3","29.8","63","2.7","203","8.3","213","0.0"
"19","1006.5","28.8","66","2.5","212","5.9","142","0.0"
"20","1007.3","27.5","75","3.9","213","6.5","215","0.0"
"21","1007.6","27.2","71","3.0","212","6.2","216","0.0"
"22","1008.2","27.5","74","1.5","213","3.5","211","0.0"
"23","1007.8","27.3","77","1.2","212","3.1","196","0.0"
"24","1008.0","27.0","78","1.8","217","4.0","213","0.0"
