"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1013.6","24.8","81","1.6","339","3.3","328","0.0"
"02","1013.0","24.7","82","1.1","354","3.0","354","0.0"
"03","1012.8","24.1","85","0.5","348","2.7","8","0.0"
"04","1012.8","23.8","88","1.3","319","3.0","336","0.0"
"05","1013.0","23.2","88","0.6","316","2.4","337","0.0"
"06","1013.6","23.9","84","1.7","327","3.4","336","0.0"
"07","1013.9","25.0","80","1.0","309","2.6","339","0.0"
"08","1013.8","27.3","73","1.5","358","4.8","8","0.0"
"09","1014.3","29.8","63","0.9","68","4.2","157","0.0"
"10","1014.2","30.0","67","1.8","100","6.5","115","0.0"
"11","1013.9","29.0","66","2.2","96","6.7","94","0.0"
"12","1013.7","28.0","71","2.5","99","5.6","69","0.0"
"13","1013.3","27.5","72","1.6","92","6.6","83","0.0"
"14","1013.3","27.1","73","1.1","58","5.8","68","0.0"
"15","1013.6","24.5","88","2.8","337","5.4","347","0.0"
"16","1013.7","23.3","96","1.8","354","5.7","347","4.5"
"17","1014.0","22.9","96","2.0","344","5.3","349","1.0"
"18","1014.8","22.3","96","1.4","360","4.1","350","0.5"
"19","1015.2","22.4","94","2.1","356","4.6","345","0.5"
"20","1015.7","22.5","95","1.0","359","4.8","336","0.0"
"21","1016.3","23.0","87","1.6","356","4.6","348","0.0"
"22","1016.6","23.0","87","1.9","350","4.3","355","0.0"
"23","1016.8","23.2","84","2.9","353","6.1","6","0.0"
"24","1016.6","22.8","81","2.4","359","6.4","11","0.0"
