"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1021.7","18.1","86","3.7","24","7.9","8","0.0"
"02","1021.7","18.3","82","2.1","4","6.7","8","0.0"
"03","1021.5","18.2","80","4.0","25","8.3","46","0.0"
"04","1021.2","18.4","79","3.9","22","7.2","18","0.0"
"05","1021.7","17.9","82","4.0","26","7.6","4","0.0"
"06","1022.2","17.0","89","1.8","353","6.5","24","0.0"
"07","1022.7","17.3","87","1.0","324","5.9","352","0.0"
"08","1023.1","17.3","87","1.2","316","2.2","307","0.0"
"09","1023.8","18.2","82","2.9","8","6.2","11","0.0"
"10","1023.7","19.0","78","2.5","24","7.3","29","0.0"
"11","1023.2","19.2","76","4.8","37","8.2","17","0.0"
"12","1022.6","19.5","76","3.9","36","7.7","52","0.0"
"13","1021.7","19.3","77","3.3","45","9.7","38","0.0"
"14","1021.5","19.2","77","4.5","28","9.4","1","0.0"
"15","1021.4","19.1","79","3.6","33","8.1","20","0.0"
"16","1021.6","18.3","82","4.4","18","8.2","44","0.0"
"17","1021.8","17.8","86","1.9","351","7.1","17","0.0"
"18","1022.2","18.5","81","2.1","1","5.0","10","0.0"
"19","1022.7","18.2","83","1.3","288","3.7","359","0.0"
"20","1023.0","17.8","87","1.8","227","2.5","227","0.0"
"21","1022.7","16.9","92","2.9","216","4.4","224","0.0"
"22","1022.7","16.5","95","1.8","220","4.0","217","0.0"
"23","1022.3","16.8","93","3.1","228","4.7","224","0.0"
"24","1022.2","17.8","94","2.1","116","4.7","224","0.0"
