sitename,longitude,latitude
三義,120.758833,24.382942
三義,120.5893,24.1411
三義,120.75956754,24.38248443
三重,121.493806,25.072611
中壢,121.221667,24.953278
中山,121.526528,25.062361
中山,120.202617,22.984581
中山,120.369972,22.560847
二林,120.409653,23.925175
仁武,120.332631,22.689056
冬山,121.792928,24.632203
前金,120.288086,22.632567
前金,120.2865,22.63388889
前金,0.0,0.0
前金,120.28676111,22.63390278
前鎮,120.307564,22.605386
前鎮,120.30833356,22.6044507
南投,120.685306,23.913
南投(南投縣議會),120.6790943,23.9075061
南投(草屯),120.68786389,23.98187222
古亭,121.529556,25.020608
古亭,120.345858,22.526986
善化,120.297142,23.115097
善化,120.29740529,23.11337642
嘉義,120.440833,23.462778
嘉義,120.44083333,23.462778
嘉義,120.44125148,23.46477865
嘉義（水上）,120.43677806,23.44647278
土城,121.451861,24.982528
土城,121.589995,25.067495
埔里,120.967903,23.968842
基隆,121.760056,25.129167
基隆,121.507972,25.046503
士林,121.5145,25.105917
士林,121.51538899999998,25.105417000000006
士林,120.312956,22.644014
士林,120.24735,23.465308
士林,121.51538899999998,25.105417000000003
士林,121.515389,25.105417
士林,121.51666356,25.10334003
大同,121.51331100000002,25.0632
大同,120.641092,24.151958
大同,121.2649,25.0082
大同,121.513311,25.0632
大同,121.51342074,25.06331455
大園,121.201811,25.060344
大園,121.1182,25.0522
大園,121.20251473,25.06100357
大園(竹圍),121.24426111,25.10363611
大城,120.26964167,23.85493056
大寮,120.425311,22.564136
大寮,120.425081,22.565747
大寮,120.425311,22.56413611
大甲（日南國小）,120.65525382,24.39017512
大里,120.677689,24.099611
大里,121.595542,25.051465
大里,120.67844444,24.09961111
安南,120.218333,23.048333
安南,120.2175,23.048197
宜蘭,121.746394,24.747917
宜蘭(壯圍),121.815708,24.765468
富貴角,121.537975,25.297436
富貴角,0.0,0.0
富貴角,121.536763,25.298562
富貴角,121.54738,25.29228
富貴角,121.53656894,25.29681695
小港,120.337736,22.565833
屏東,120.488033,22.673081
屏東(建興),121.00379167,22.650525
屏東(枋寮),120.59116667,22.37094722
屏東(枋寮),120.59036944,22.38474167
屏東(枋寮),121.00379167,22.650525
屏東(枋山),120.651472,22.260899
屏東(琉球),120.37722,22.35222000000001
屏東(琉球),120.37722,22.352220000000003
屏東(琉球),120.37722,22.35222
屏東縣（泰武）,120.66501,22.58564
屏東（琉球）,120.37722,22.35222
崙背,120.348742,23.757547
左營,120.292917,22.674861
平鎮,121.204981,24.954208
平鎮,121.203986,24.952786
平鎮,120.7145,24.3074
彰化,120.541519,24.066
彰化,121.45416670000002,23.67972222
彰化(員林),120.58178611,23.95058333
彰化(員林),120.56373,23.96117
彰化(大城),120.28181389,23.84315833
彰化(大城),120.27311,23.84313
彰化(田尾),120.52878611,23.89177778
彰化（員林）,120.56373,23.96117
復興,120.312017,22.608711
忠明,120.641092,24.151958
忠明,120.686361,24.095861
忠明國小,0.0,0.0
恆春,120.788928,21.958069
斗六,120.544994,23.711853
新北(樹林),120.348742,23.757547
新北(樹林),121.38352778,24.94902778
新店,121.537778,24.977222
新店,121.606709,25.054401
新港,120.345531,23.554839
新營,120.31725,23.305633
新竹,120.972075,24.805619
新竹,120.6464,24.094
新竹,120.97236752,24.8056356
新竹(北區),120.96231389,24.81953333
新竹(香山),120.348742,23.757547
新莊,121.4325,25.037972
新莊,120.561175,22.523108
新莊,121.515999,25.09104
朴子,120.24735,23.465308
朴子,120.24781000000002,23.467123
朴子,120.24205556,23.47011111
朴子,120.24781111,23.46712222
朴子,120.2478,23.46538
松山,121.578611,25.05
松山,121.259091,24.967816
板橋,121.458667,25.012972
板橋,120.305689,22.757506
板橋,121.576521,24.987312
枋寮,120.59116667,22.37094722
林口,121.365703,25.078570000000006
林口,121.376869,25.077197
林口,120.337736,22.565833
林口,120.307524,22.587069
林口,121.36548982,25.07798949
林園,120.41175,22.4795
桃園,121.31996399999998,24.994789
桃園,121.203986,24.952786
桃園,121.304383,24.995368
桃園,121.30872222,24.98677778
桃園,121.30500531,24.9947107
桃園(三民),121.31795,25.00130833
桃園(三民),121.31820833,25.00121944
桃園(三民),121.31788148,25.00132736
桃園(楊梅),121.385,25.65444444
桃園(楊梅),121.184472374459,24.9241666691556
桃園(竹圍),121.24426111,25.10363611
桃園(蘆竹),121.31795,25.00130833
桃園(觀音工業區),121.12804444,25.06303889
楠梓,120.32828899999998,22.733667
楠梓,120.328289,22.733667
樹林,121.12780556,25.06133333
橋頭,120.305689,22.757506
永和,121.516306,25.017
永和(環河),121.50410278,25.01231389
汐止,121.6408,25.065669
汐止,121.6423,25.067131
汐止,121.451861,24.982528
汐止,121.64081,25.06624
沙鹿,120.568794,24.225628
沙鹿,121.3785,24.9297
淡水,121.449239,25.1645
淡水,120.202842,23.717533
淡水,120.396406,22.544317000000003
湖內,120.24535,22.87985556
湖口,121.038653,24.900142
湖口,120.715,24.1395
湖口,121.03886894,24.90009696
潮州,120.561175,22.523108
潮州,120.54303333,22.54779444
竹山,120.677306,23.756389
竹東,121.088903,24.740644
竹東,120.6972,24.0573
竹東,121.08895493,24.74091408
線西,120.469061,24.131672
美濃,120.530542,22.883583
臺中(大甲),120.65575,24.391
臺中(大肚),120.57252222,24.15265
臺南,120.202617,22.984581
臺南,120.22238056,22.98525833
臺南,120.22085,22.99123
臺南,120.21947897,22.98928311
臺南(北門),120.12444444,23.26472222
臺南(北門),120.12416667,23.26541944
臺南(學甲),120.18339722,23.23688056
臺南(麻豆),120.24583056,23.17904722
臺南（麻豆）,120.24583056,23.17904722
臺東,121.15045,22.755358
臺西,120.202842,23.717533
臺西,120.19933333,23.702175
花蓮,121.599769,23.971306
苗栗,120.8202,24.565269
苗栗,120.4417,22.4794
苗栗,120.82011468,24.56499183
苗栗(後龍),120.348742,23.757547
菜寮,121.481028,25.06895
菜寮,121.522608,25.05213
萬華,121.507972,25.046503
萬里,121.689881,25.179667
萬里,121.572367,25.036235
行動監測03,120.348742,23.757547
西屯,120.616917,24.162197
西屯,121.372895,25.050864
觀音,121.082761,25.035503
觀音,121.08283092,25.03556747
豐原,120.741711,24.256586
豐原,120.4921,23.1771
豐原,120.74252414,24.25699731
金門,118.312256,24.432133
關山,121.161933,23.045083
陽明,121.529583,25.182722
頭份,120.898572,24.696969
頭份,120.1547,23.0426
頭份,120.89869286,24.69690679
馬公,119.566158,23.569031
馬祖,119.9525,26.153611
馬祖,119.949875,26.160469
馬祖,120.59128111,26.25799556
馬祖,119.93149378,26.15188416
馬祖,119.952724,26.153736
高雄(湖內),120.24535,22.87985556
高雄(阿蓮),120.32724444,22.88545833
高雄（林園）,120.41175,22.4795
高雄（湖內）,120.24535,22.87985556
鳳山,120.358083,22.627392
鳳山,120.357422,22.628126
麥寮,120.251825,23.753506
龍潭,121.21635,24.863869
龍潭,120.6152,24.3505
龍潭,121.21645772,24.86400048
